Timestamp,sensor 1,sensor 2,sensor 3,sensor 4,sensor 5,sensor 6,sensor 7,sensor 8,sensor 9,sensor 10
2023-11-02 16:55:16.0,540,568,200,700,592,684,497,637,471,601
2023-11-02 16:55:17.0,539.98,568.25,199.94,699.64,592.9,684.34,497.98,636.49,470.87,600.71
2023-11-02 16:55:18.0,540.74,567.79,200.87,700.25,592.25,683.35,497.09,635.95,471.71,600.89
2023-11-02 16:55:19.0,540.59,568.05,200.99,700.14,591.71,682.7,497.49,635.01,471.38,600.44
2023-11-02 16:55:20.0,539.8,568.59,200.47,699.15,590.72,683.48,497.1,635.1,470.87,600.43
2023-11-02 16:55:21.0,540.71,569.56,200.18,699.91,590.83,683.9,496.76,635.55,470.6,600.94
2023-11-02 16:55:22.0,541.1,570.26,199.85,700.32,590.47,684.33,496.33,636.14,470.1,600.61
2023-11-02 16:55:23.0,541.52,570.17,200.21,700.87,590.73,683.94,496.4,635.36,470.85,600.13
2023-11-02 16:55:24.0,541.8,569.46,199.55,700.77,590.4,684.48,497.24,634.86,470.6,599.4
2023-11-02 16:55:25.0,541.52,569.08,199.14,699.79,591.34,684.65,496.25,634.55,471.46,598.65
2023-11-02 16:55:26.0,541.8,569.32,199.54,699.53,591.86,685.17,496.55,635.26,470.58,599.07
2023-11-02 16:55:27.0,541.88,569.2,200.38,699.38,592.61,685.36,496.74,636.04,471.54,599.9
2023-11-02 16:55:28.0,541.08,568.95,201.1,698.82,592.09,685.7,496.72,635.34,472.32,598.94
2023-11-02 16:55:29.0,540.81,569.9,200.16,698.37,592.81,685.51,496.95,636.06,471.57,599.4
2023-11-02 16:55:30.0,541.64,569.11,200.87,698.97,592.74,686.13,496.16,636.25,471.35,598.58
2023-11-02 16:55:31.0,542.35,568.9,201.31,699.27,592.97,686.49,495.97,636.9,470.58,599.36
2023-11-02 16:55:32.0,542.73,567.94,202.3,698.35,592.38,687.38,495.13,637.44,471.48,599.33
2023-11-02 16:55:33.0,543.42,567.24,202.75,698.92,591.62,688.11,495.97,637.19,471.19,600.33
2023-11-02 16:55:34.0,543.27,567.94,202.37,698.11,592.16,688.66,495.82,636.84,471.99,600.47
2023-11-02 16:55:35.0,542.67,568.72,201.96,697.28,593.0,688.89,494.88,636.45,472.89,600.27
2023-11-02 16:55:36.0,542.12,568.88,201.53,698.17,592.47,689.13,494.25,636.74,472.57,601.25
2023-11-02 16:55:37.0,541.99,569.7,202.35,698.44,592.04,688.25,495.14,636.07,471.95,601.39
2023-11-02 16:55:38.0,542.61,570.51,201.55,697.85,591.83,688.23,495.23,635.21,471.32,601.48
2023-11-02 16:55:39.0,542.48,569.98,201.78,698.44,592.78,687.43,494.59,634.7,472.08,601.72
2023-11-02 16:55:40.0,542.2,570.55,201.18,698.95,592.76,687.06,495.54,634.9,472.99,601.75
2023-11-02 16:55:41.0,541.28,570.08,202.03,699.66,592.11,687.45,496.26,634.28,473.94,601.92
2023-11-02 16:55:42.0,542.08,569.59,201.62,699.34,592.89,686.75,496.54,634.64,473.84,600.97
2023-11-02 16:55:43.0,542.38,568.7,201.3,699.33,593.08,686.67,495.78,635.22,473.09,600.2
2023-11-02 16:55:44.0,542.59,569.6,201.57,698.92,593.13,686.09,496.37,635.76,473.35,600.72
2023-11-02 16:55:45.0,543.13,570.43,201.25,699.51,594.07,686.08,497.19,635.07,472.96,601.25
2023-11-02 16:55:46.0,542.16,570.93,201.71,699.18,594.6,685.83,497.88,634.83,473.24,601.66
2023-11-02 16:55:47.0,541.56,571.06,201.39,698.32,594.56,685.99,496.9,634.92,472.95,600.83
2023-11-02 16:55:48.0,541.5,570.1,201.0,697.98,595.29,686.85,496.37,634.97,473.32,599.88
2023-11-02 16:55:49.0,541.04,569.79,200.89,698.73,595.34,686.99,496.38,634.13,472.39,600.35
2023-11-02 16:55:50.0,541.03,569.36,200.89,698.66,594.83,686.86,496.05,634.43,473.13,599.48
2023-11-02 16:55:51.0,540.64,569.07,201.34,698.89,594.51,687.39,495.88,634.15,473.98,599.36
